site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
BLNP 13AUG09 2013.6044 56513 1752 5 -121.8  -3977 -0.495657   4901132  0.934233  1521  0.772695  0.0900 0.000703 0.001012 0.002949  0.027014 -0.095513 -0.125245
BLNP 13AUG10 2013.6071 56514 1752 6 -121.8  -3977 -0.495782   4901132  0.936043  1521  0.768914  0.0900 0.000695 0.000981 0.002872  0.001358 -0.085861 -0.117461
BLNP 13AUG11 2013.6099 56515 1753 0 -121.8  -3977 -0.492612   4901132  0.935621  1521  0.764086  0.0900 0.000693 0.000986 0.002862  0.004725 -0.090879 -0.104828
BLNP 13AUG12 2013.6126 56516 1753 1 -121.8  -3977 -0.491231   4901132  0.930902  1521  0.771066  0.0900 0.000692 0.000992 0.002869  0.020961 -0.087956 -0.100948
BLNP 13AUG13 2013.6153 56517 1753 2 -121.8  -3977 -0.496573   4901132  0.934667  1521  0.781097  0.0900 0.000727 0.001069 0.003034  0.021930 -0.104873 -0.103082
BLNP 13AUG14 2013.6181 56518 1753 3 -121.8  -3977 -0.493846   4901132  0.935423  1521  0.769939  0.0900 0.000696 0.000998 0.002901  0.012223 -0.077157 -0.106610
BLNP 13AUG15 2013.6208 56519 1753 4 -121.8  -3977 -0.492952   4901132  0.932628  1521  0.774059  0.0900 0.000700 0.000997 0.002891  0.001574 -0.057581 -0.100721
BLNP 13AUG16 2013.6235 56520 1753 5 -121.8  -3977 -0.496559   4901132  0.933122  1521  0.780520  0.0900 0.000699 0.000986 0.002881  0.010965 -0.076499 -0.101551
BLNP 13AUG17 2013.6263 56521 1753 6 -121.8  -3977 -0.492508   4901132  0.932109  1521  0.770045  0.0900 0.000696 0.000993 0.002884  0.017315 -0.084935 -0.102257
BLNP 13AUG18 2013.6290 56522 1754 0 -121.8  -3977 -0.493044   4901132  0.933409  1521  0.775088  0.0900 0.000689 0.000981 0.002856  0.024826 -0.085410 -0.104904
BLNP 13AUG19 2013.6318 56523 1754 1 -121.8  -3977 -0.496374   4901132  0.932912  1521  0.775909  0.0900 0.000698 0.000992 0.002889  0.006907 -0.072513 -0.097081
BLNP 13AUG20 2013.6345 56524 1754 2 -121.8  -3977 -0.497510   4901132  0.933435  1521  0.786366  0.0900 0.000698 0.000990 0.002888  0.003141 -0.053016 -0.094564
BLNP 13AUG21 2013.6372 56525 1754 3 -121.8  -3977 -0.496178   4901132  0.934341  1521  0.790198  0.0900 0.000698 0.000992 0.002887  0.006600 -0.074625 -0.100475
BLNP 13AUG22 2013.6400 56526 1754 4 -121.8  -3977 -0.494524   4901132  0.932377  1521  0.784987  0.0900 0.000699 0.000986 0.002884 -0.000820 -0.078442 -0.106742
BLNP 13AUG23 2013.6427 56527 1754 5 -121.8  -3977 -0.494940   4901132  0.931704  1521  0.776248  0.0900 0.000698 0.000991 0.002876  0.019503 -0.094728 -0.095231
BLNP 13AUG24 2013.6454 56528 1754 6 -121.8  -3977 -0.496304   4901132  0.932544  1521  0.772693  0.0900 0.000690 0.000981 0.002845  0.017195 -0.073433 -0.103794
BLNP 13AUG25 2013.6482 56529 1755 0 -121.8  -3977 -0.497756   4901132  0.935407  1521  0.792239  0.0900 0.000700 0.000992 0.002868  0.017123 -0.074800 -0.094333
BLNP 13AUG26 2013.6509 56530 1755 1 -121.8  -3977 -0.497212   4901132  0.933547  1521  0.776623  0.0900 0.000700 0.000999 0.002885  0.019352 -0.075714 -0.092006
BLNP 13AUG27 2013.6537 56531 1755 2 -121.8  -3977 -0.496089   4901132  0.931132  1521  0.777230  0.0900 0.000702 0.000997 0.002889  0.022824 -0.087049 -0.107984
BLNP 13AUG28 2013.6564 56532 1755 3 -121.8  -3977 -0.495535   4901132  0.933908  1521  0.783220  0.0900 0.000706 0.000995 0.002892  0.027938 -0.101515 -0.120193
BLNP 13AUG29 2013.6591 56533 1755 4 -121.8  -3977 -0.497901   4901132  0.936056  1521  0.780386  0.0900 0.000727 0.001034 0.002993  0.055943 -0.082715 -0.092563
BLNP 13AUG30 2013.6619 56534 1755 5 -121.8  -3977 -0.493312   4901132  0.933606  1521  0.773819  0.0900 0.000697 0.000995 0.002865  0.024367 -0.073466 -0.097661
BLNP 13AUG31 2013.6646 56535 1755 6 -121.8  -3977 -0.495100   4901132  0.933666  1521  0.776498  0.0900 0.000702 0.000988 0.002857  0.018256 -0.080292 -0.088842
BLNP 13SEP01 2013.6674 56536 1756 0 -121.8  -3977 -0.497995   4901132  0.931656  1521  0.794197  0.0900 0.000702 0.001004 0.002880  0.029609 -0.090312 -0.089199
BLNP 13SEP02 2013.6701 56537 1756 1 -121.8  -3977 -0.496314   4901132  0.929540  1521  0.784631  0.0900 0.000699 0.000995 0.002879  0.009749 -0.084034 -0.104932
BLNP 13SEP03 2013.6728 56538 1756 2 -121.8  -3977 -0.494814   4901132  0.931020  1521  0.784938  0.0900 0.000715 0.001041 0.002984  0.038730 -0.067108 -0.118481
BLNP 13SEP04 2013.6756 56539 1756 3 -121.8  -3977 -0.495682   4901132  0.930664  1521  0.783673  0.0900 0.000712 0.001037 0.002971  0.031166 -0.057943 -0.125619
BLNP 13SEP05 2013.6783 56540 1756 4 -121.8  -3977 -0.495036   4901132  0.933320  1521  0.791106  0.0900 0.000706 0.000993 0.002872  0.029994 -0.064962 -0.091001
BLNP 15JUL13 2015.5291 57216 1853 1 -121.8  -3977 -0.517784   4901132  0.919695  1521  0.771041  0.0900 0.000457 0.000625 0.001773 -0.001414 -0.029574 -0.025276
BLNP 15JUL14 2015.5318 57217 1853 2 -121.8  -3977 -0.519010   4901132  0.921189  1521  0.775210  0.0900 0.000447 0.000602 0.001731 -0.003309 -0.016431 -0.013071
BLNP 15JUL15 2015.5346 57218 1853 3 -121.8  -3977 -0.517987   4901132  0.920829  1521  0.778917  0.0900 0.000449 0.000604 0.001732 -0.007489 -0.004499 -0.008955
BLNP 15JUL16 2015.5373 57219 1853 4 -121.8  -3977 -0.520024   4901132  0.921041  1521  0.785799  0.0900 0.000459 0.000611 0.001784 -0.016608 -0.018614 -0.016980
BLNP 15JUL17 2015.5400 57220 1853 5 -121.8  -3977 -0.519522   4901132  0.921356  1521  0.783471  0.0900 0.000477 0.000628 0.001844 -0.010788 -0.020074 -0.036133
